  PID  PPID USER         STIME NAME                       
  920     2 root         20:55:48 [ext4-rsv-conver]
  921     2 root         20:55:48 [ext4-rsv-conver]
  922     2 root         20:55:48 [ext4-rsv-conver]
  923     2 root         20:55:48 [ext4-rsv-conver]
  924     2 root         20:55:48 [ext4-rsv-conver]
  925     2 root         20:55:48 [ext4-rsv-conver]
  926     2 root         20:55:48 [ext4-rsv-conver]
  927     2 root         20:55:48 [ext4-rsv-conver]
  928     2 root         20:55:48 [ext4-rsv-conver]
  929     2 root         20:55:48 [ext4-rsv-conver]
  930     2 root         20:55:48 [ext4-rsv-conver]
  931     2 root         20:55:48 [kverityd]
  932     2 root         20:55:48 [ext4-rsv-conver]
  933     2 root         20:55:48 [ext4-rsv-conver]
  934     2 root         20:55:48 [ext4-rsv-conver]
  935     2 root         20:55:48 [ext4-rsv-conver]
  936     2 root         20:55:48 [ext4-rsv-conver]
  937     2 root         20:55:48 [kverityd]
  938     2 root         20:55:48 [ext4-rsv-conver]
  939     2 root         20:55:48 [kverityd]
  940     2 root         20:55:48 [kverityd]
  941     2 root         20:55:48 [kverityd]
  942     2 root         20:55:48 [ext4-rsv-conver]
  943     2 root         20:55:48 [ext4-rsv-conver]
  944     2 root         20:55:48 [ext4-rsv-conver]
  945     2 root         20:55:48 [ext4-rsv-conver]
  953     1 root         20:55:48 netd
  956   953 root         20:55:48 iptables-restore
  957   953 root         20:55:48 ip6tables-restore
  977     2 root         20:55:49 [kworker/5:2H-kblockd]
  992     1 root         20:55:49 logcat
  998     1 root         20:55:49 zygisk-ptrace64
 1073     1 system       20:55:49 time_daemon
 1074     1 radio        20:55:49 ipacm
 1085     1 root         20:55:49 zygote64
 1087     1 root         20:55:49 zygote
 1093   998 root         20:55:49 zygiskd64
 1095     2 root         20:55:49 [at_usb0]
 1096     2 root         20:55:49 [at_usb1]
 1098     2 root         20:55:49 [at_usb2]
 1099     2 root         20:55:49 [rmnet_ctrl]
 1100     2 root         20:55:49 [dpl_ctrl]
 1101     2 root         20:55:49 [qdss]
 1102     2 root         20:55:49 [qdss_mdm]
 1103     2 root         20:55:49 [qdss_sw]
 1108   998 root         20:55:49 zygiskd32
 1132     2 root         20:55:50 [kworker/u17:5-pil_workqueue]
 1133     2 root         20:55:50 [kworker/u17:6-kgsl-events]
 1136     2 root         20:55:50 [kworker/u17:7-pil_workqueue]
 1137     2 root         20:55:50 [kworker/u17:8-pil_workqueue]
 1138     2 root         20:55:50 [kworker/u17:9-kgsl-events]
 1139     2 root         20:55:50 [kworker/u17:10-pil_workqueue]
 1140     2 root         20:55:50 [kworker/u17:11-dwc_wq]
 1141     2 root         20:55:50 [kworker/u17:12-pil_workqueue]
 1142     2 root         20:55:50 [kworker/u17:13-pil_workqueue]
 1143     2 root         20:55:50 [kworker/u17:14-pil_workqueue]
 1144     2 root         20:55:50 [kworker/u17:15-pil_workqueue]
 1145     2 root         20:55:50 [kworker/u17:16-mhi_w]
 1146     2 root         20:55:50 [kworker/u17:17-pil_workqueue]
 1147     2 root         20:55:50 [kworker/u17:18-pil_workqueue]
 1148     2 root         20:55:50 [kworker/u17:19-mpcie_wq]
 1149     2 root         20:55:50 [kworker/u17:20-pil_workqueue]
 1150     2 root         20:55:50 [kworker/u17:21-mhi_w]
 1151     2 root         20:55:50 [kworker/u17:22-pil_workqueue]
 1153     2 root         20:55:50 [kworker/u17:23-pil_workqueue]
 1154     2 root         20:55:50 [kworker/u17:24-qmi_msg_handler]
 1155     2 root         20:55:50 [kworker/u17:25-pil_workqueue]
 1156     2 root         20:55:50 [kworker/u17:26-pil_workqueue]
 1157     2 root         20:55:50 [kworker/u17:27-pil_workqueue]
 1158     2 root         20:55:50 [kworker/u17:28-pil_workqueue]
 1159     2 root         20:55:50 [kworker/u17:29-pil_workqueue]
 1160     2 root         20:55:50 [kworker/u17:30-pil_workqueue]
